 play 1-108 [HTML] xyz.html \r\n
[2022-04-17 18:31:42.600] [info]    Sent message to 127.0.0.1:202 PLAY OK\r\n
[2022-04-17 18:31:42.663] [info]    Received message from 127.0.0.1: call 1-108 " var aa = document.createElement('div'); aa.style.position='absolute'; aa.innerHTML='<?xml version=\"1.0\" encoding=\"UTF-8\" standalone=\"no\" ?> <!DOCTYPE svg PUBLIC \"-//W3C//DTD SVG 1.1//EN\" \"http://www.w3.org/Graphics/SVG/1.1/DTD/svg11.dtd\"> <svg xmlns=\"http://www.w3.org/2000/svg\" xmlns:xlink=\"http://www.w3.org/1999/xlink\" version=\"1.1\" width=\"1024\" height=\"576\" viewBox=\"0 0 1024 576\" xml:space=\"preserve\"> <desc>Created with Fabric.js 5.2.1</desc> <defs> </defs> <g transform=\"matrix(1 0 0 1 341.5 471.5)\" id=\"id_b6094251-027b-47d1-a88e-3877d71a3ec5\" > <linearGradient id=\"SVGID_8234\" gradientUnits=\"objectBoundingBox\" gradientTransform=\"matrix(1 0 0 1 0 0)\" x1=\"0\" y1=\"0\" x2=\"0\" y2=\"1\"> <stop offset=\"0%\" style=\"stop-color:black;\"/> <stop offset=\"50%\" style=\"stop-color:hsl(251, 100%, 50%);\"/> <stop offset=\"100%\" style=\"stop-color:black;\"/> </linearGradient> <filter id=\"SVGID_8235\" y=\"-20%\" height=\"140%\" x=\"-20%\" width=\"140%\" > <feGaussianBlur in=\"SourceAlpha\" stdDeviation=\"0\"></feGaussianBlur> <feOffset dx=\"0\" dy=\"0\" result=\"oBlur\" ></feOffset> <feFlood flood-color=\"rgb(0,0,0)\" flood-opacity=\"1\"/> <feComposite in2=\"oBlur\" operator=\"in\" /> <feMerge> <feMergeNode></feMergeNode> <feMergeNode in=\"SourceGraphic\"></feMergeNode> </feMerge> </filter> <rect style=\"stroke: rgb(255,255,255); stroke-width: 3; stroke-dasharray: none; stroke-linecap: butt; stroke-dashoffset: 0; stroke-linejoin: miter; stroke-miterlimit: 4; fill: url(#SVGID_8234); fill-rule: nonzero; opacity: 0.9;filter: url(#SVGID_8235);\" vector-effect=\"non-scaling-stroke\" x=\"-250\" y=\"-40\" rx=\"10\" ry=\"10\" width=\"500\" height=\"80\" /> </g> </svg>'; document.body.appendChild(aa); document.body.style.margin='0'; document.body.style.padding='0'; aa.style.zoom=(192000/1024)+'%'; document.body.style.overflow='hidden'; var style = document.createElement('style'); style.textContent = ''; document.head.appendChild(style); " \r\n
[2022-04-17 18:31:42.664] [info]    Sent message to 127.0.0.1:202 CALL OK\r\n
[2022-04-17 18:31:42.719] [info]    Received message from 127.0.0.1: mixer 1-108 fill 0 0 1 1 10 easeinsine \r\n
[2022-04-17 18:31:42.719] [info]    Sent message to 127.0.0.1:202 MIXER OK\r\n
[2022-04-17 18:31:42.743] [info]    Received message from 127.0.0.1: call 1-108 " aa.innerHTML='<?xml version=\"1.0\" encoding=\"UTF-8\" standalone=\"no\" ?> <!DOCTYPE svg PUBLIC \"-//W3C//DTD SVG 1.1//EN\" \"http://www.w3.org/Graphics/SVG/1.1/DTD/svg11.dtd\"> <svg xmlns=\"http://www.w3.org/2000/svg\" xmlns:xlink=\"http://www.w3.org/1999/xlink\" version=\"1.1\" width=\"1024\" height=\"576\" viewBox=\"0 0 1024 576\" xml:space=\"preserve\"> <desc>Created with Fabric.js 5.2.1</desc> <defs> </defs> <g transform=\"matrix(1 0 0 1 341.5 471.5)\" id=\"id_b6094251-027b-47d1-a88e-3877d71a3ec5\" > <linearGradient id=\"SVGID_8234\" gradientUnits=\"objectBoundingBox\" gradientTransform=\"matrix(1 0 0 1 0 0)\" x1=\"0\" y1=\"0\" x2=\"0\" y2=\"1\"> <stop offset=\"0%\" style=\"stop-color:black;\"/> <stop offset=\"50%\" style=\"stop-color:hsl(251, 100%, 50%);\"/> <stop offset=\"100%\" style=\"stop-color:black;\"/> </linearGradient> <filter id=\"SVGID_8235\" y=\"-20%\" height=\"140%\" x=\"-20%\" width=\"140%\" > <feGaussianBlur in=\"SourceAlpha\" stdDeviation=\"0\"></feGaussianBlur> <feOffset dx=\"0\" dy=\"0\" result=\"oBlur\" ></feOffset> <feFlood flood-color=\"rgb(0,0,0)\" flood-opacity=\"1\"/> <feComposite in2=\"oBlur\" operator=\"in\" /> <feMerge> <feMergeNode></feMergeNode> <feMergeNode in=\"SourceGraphic\"></feMergeNode> </feMerge> </filter> <rect style=\"stroke: rgb(255,255,255); stroke-width: 3; stroke-dasharray: none; stroke-linecap: butt; stroke-dashoffset: 0; stroke-linejoin: miter; stroke-miterlimit: 4; fill: url(#SVGID_8234); fill-rule: nonzero; opacity: 0.9;filter: url(#SVGID_8235);\" vector-effect=\"non-scaling-stroke\" x=\"-250\" y=\"-40\" rx=\"10\" ry=\"10\" width=\"500\" height=\"80\" /> </g> </svg>'; " \r\n
[2022-04-17 18:31:42.744] [info]    Sent message to 127.0.0.1:202 CALL OK\r\n


play 1-107 [HTML] xyz.html \r\n
[2022-04-17 18:34:23.620] [info]    Sent message to 127.0.0.1:202 PLAY OK\r\n
